driver,address,lat,lng,date,ID
,NULL,NULL,NULL,NULL,239358
,NULL,NULL,NULL,NULL,239359
,NULL,NULL,NULL,NULL,239360
,NULL,NULL,NULL,NULL,239361
,NULL,NULL,NULL,NULL,239362
,NULL,NULL,NULL,NULL,239363
,NULL,NULL,NULL,NULL,239364
,NULL,NULL,NULL,NULL,239365
,NULL,NULL,NULL,NULL,239366
,NULL,NULL,NULL,NULL,239367
,NULL,NULL,NULL,NULL,239368
,NULL,NULL,NULL,NULL,239369
,NULL,NULL,NULL,NULL,239370
,NULL,NULL,NULL,NULL,239371
,NULL,NULL,NULL,NULL,239372
,NULL,NULL,NULL,NULL,239373
,NULL,NULL,NULL,NULL,239374
,NULL,NULL,NULL,NULL,239375
,NULL,NULL,NULL,NULL,239376
,NULL,NULL,NULL,NULL,239377
,NULL,NULL,NULL,NULL,239378
,NULL,NULL,NULL,NULL,239379
,NULL,NULL,NULL,NULL,239380
,NULL,NULL,NULL,NULL,239381
,NULL,NULL,NULL,NULL,239382
,NULL,NULL,NULL,NULL,239383
,NULL,NULL,NULL,NULL,239384
,NULL,NULL,NULL,NULL,239385
,NULL,NULL,NULL,NULL,239386
,NULL,NULL,NULL,NULL,239387
,NULL,NULL,NULL,NULL,239388
,NULL,NULL,NULL,NULL,239389
,NULL,NULL,NULL,NULL,239390
,NULL,NULL,NULL,NULL,239391
,NULL,NULL,NULL,NULL,239392
,NULL,NULL,NULL,NULL,239393
,NULL,NULL,NULL,NULL,239394
,NULL,NULL,NULL,NULL,239395
,NULL,NULL,NULL,NULL,239396
,NULL,NULL,NULL,NULL,239397
,NULL,NULL,NULL,NULL,239398
,NULL,NULL,NULL,NULL,239399
,NULL,NULL,NULL,NULL,239400
,NULL,NULL,NULL,NULL,239401
,NULL,NULL,NULL,NULL,239402
,NULL,NULL,NULL,NULL,239403
,NULL,NULL,NULL,NULL,239404
,NULL,NULL,NULL,NULL,239405
,NULL,NULL,NULL,NULL,239406
,NULL,NULL,NULL,NULL,239407
,NULL,NULL,NULL,NULL,239408
,NULL,NULL,NULL,NULL,239409
,NULL,NULL,NULL,NULL,239410
,NULL,NULL,NULL,NULL,239411
,NULL,NULL,NULL,NULL,239412
,NULL,NULL,NULL,NULL,239413
,NULL,NULL,NULL,NULL,239414
,NULL,NULL,NULL,NULL,239415
,NULL,NULL,NULL,NULL,239416
,NULL,NULL,NULL,NULL,239417
s0039,0,0,運行開始,"2021/01/15 05:19:32
",239418
,NULL,NULL,NULL,NULL,239419
,NULL,NULL,NULL,NULL,239420
,NULL,NULL,NULL,NULL,239421
WwOVY,0,0,運行開始,"2021/01/15 05:23:09
",239422
,NULL,NULL,NULL,NULL,239423
WwOVY,大阪府大阪市１丁目１５７１,34.6111842,135.4386277,"2021/01/15 05:32:01
",239424
WwOVY,大阪府大阪市１丁目１６４１,34.6110944,135.4394547,"2021/01/15 05:37:18
",239425
,NULL,NULL,NULL,NULL,239426
,NULL,NULL,NULL,NULL,239427
,NULL,NULL,NULL,NULL,239428
WwOVY,大阪府大阪市１丁目１６４１,34.6108358,135.4394362,"2021/01/15 05:42:52
",239429
WwOVY,大阪府大阪市１丁目１６４１,34.6107383,135.4393646,"2021/01/15 05:48:35
",239430
WrWmp,0,0,運行開始,"2021/01/15 05:51:17
",239431
,NULL,NULL,NULL,NULL,239432
WwOVY,大阪府大阪市１丁目１６４１,34.6108994,135.4393534,"2021/01/15 05:54:30
",239433
s0039,埼玉県北葛飾郡杉戸町６５７,36.0023764,139.7551087,"2021/01/15 05:54:30
",239434
WrWmp,…,…,"2021/01/15 05:56:54",NULL,239435
,NULL,NULL,NULL,NULL,239436
,NULL,NULL,NULL,NULL,239437
WwOVY,大阪府大阪市１丁目１５７１,34.6109016,135.4386113,"2021/01/15 05:59:30
",239438
,NULL,NULL,NULL,NULL,239439
WrWmp,…,…,"2021/01/15 06:01:55",NULL,239440
WwOVY,大阪府大阪市１丁目１５７１,34.6110232,135.4386529,"2021/01/15 06:04:54
",239441
WrWmp,0,0,運行開始,"2021/01/15 06:06:31
",239442
WrWmp,0,0,運行開始,"2021/01/15 06:07:35
",239443
WwOVY,大阪府大阪市１丁目１５７１,34.6110012,135.4386703,"2021/01/15 06:10:31
",239444
,NULL,NULL,NULL,NULL,239445
WrWmp,…,…,"2021/01/15 06:12:33",NULL,239446
WwOVY,大阪府大阪市１丁目１５７１,34.6110928,135.4386434,"2021/01/15 06:16:32
",239447
,NULL,NULL,NULL,NULL,239448
,NULL,NULL,NULL,NULL,239449
WrWmp,…,…,"2021/01/15 06:17:34",NULL,239450
s0039,埼玉県北葛飾郡杉戸町６５７,36.0023764,139.7551087,"2021/01/15 06:21:27
",239451
,NULL,NULL,NULL,NULL,239452
WwOVY,大阪府大阪市１丁目１５７１,34.6111898,135.4386476,"2021/01/15 06:21:56
",239453
WrWmp,…,…,"2021/01/15 06:22:34",NULL,239454
WrWmp,…,…,"2021/01/15 06:27:34",NULL,239455
WwOVY,大阪府大阪市１丁目１５７１,34.6110726,135.4386598,"2021/01/15 06:27:58
",239456
,NULL,NULL,NULL,NULL,239457
WrWmp,…,…,"2021/01/15 06:32:34",NULL,239458
WwOVY,大阪府大阪市１丁目１５７１,34.6110922,135.4386586,"2021/01/15 06:33:41
",239459
,NULL,NULL,NULL,NULL,239460
,NULL,NULL,NULL,NULL,239461
WrWmp,…,…,"2021/01/15 06:37:33",NULL,239462
WwOVY,大阪府大阪市１丁目１５７１,34.6111975,135.4386121,"2021/01/15 06:39:11
",239463
,NULL,NULL,NULL,NULL,239464
WrWmp,…,…,"2021/01/15 06:42:33",NULL,239465
WwOVY,大阪府大阪市１丁目１５７１,34.6111399,135.4385825,"2021/01/15 06:44:52
",239466
s0039,埼玉県北葛飾郡杉戸町６５７,36.0023764,139.7551087,"2021/01/15 06:47:13
",239467
WrWmp,…,…,"2021/01/15 06:47:34",NULL,239468
WwOVY,大阪府大阪市１丁目１５７１,34.6111423,135.4387258,"2021/01/15 06:50:17
",239469
,NULL,NULL,NULL,NULL,239470
WrWmp,…,…,"2021/01/15 06:52:34",NULL,239471
,NULL,NULL,NULL,NULL,239472
,NULL,NULL,NULL,NULL,239473
WwOVY,大阪府大阪市１丁目１５７１,34.6111634,135.4387349,"2021/01/15 06:55:59
",239474
,NULL,NULL,NULL,NULL,239475
WwOVY,大阪府大阪市１丁目１５７１,34.6109984,135.4386388,"2021/01/15 07:02:07
",239476
WrWmp,…,…,"2021/01/15 07:07:19",NULL,239477
WwOVY,大阪府大阪市１丁目１５７１,34.6110154,135.4386451,"2021/01/15 07:08:17
",239478
,NULL,NULL,NULL,NULL,239479
WrWmp,…,…,"2021/01/15 07:12:19",NULL,239480
,NULL,NULL,NULL,NULL,239481
,NULL,NULL,NULL,NULL,239482
s0039,埼玉県北葛飾郡杉戸町６５７,36.0023764,139.7551087,"2021/01/15 07:13:38
",239483
WwOVY,大阪府大阪市１丁目１５７１,34.6109333,135.4386749,"2021/01/15 07:14:24
",239484
WwOVY,大阪府大阪市１丁目ライフコーポレーション１,34.6110269,135.4391981,"2021/01/15 07:19:58
",239485
,NULL,NULL,NULL,NULL,239486
WwOVY,大阪府大阪市１丁目ライフコーポレーション１,34.611616,135.4392008,"2021/01/15 07:25:30
",239487
s0039,埼玉県北葛飾郡杉戸町６５７,36.0023764,139.7551087,"2021/01/15 07:30:44
",239488
WwOVY,大阪府大阪市３丁目７６３,34.6189056,135.4390276,"2021/01/15 07:30:49
",239489
,NULL,NULL,NULL,NULL,239490
,NULL,NULL,NULL,NULL,239491
,NULL,NULL,NULL,NULL,239492
WwOVY,大阪府大阪市２丁目３０５,34.6204352,135.4595969,"2021/01/15 07:35:55
",239493
WrWmp,…,…,"2021/01/15 07:37:56",NULL,239494
WwOVY,大阪府大阪市１丁目２９１,34.6284935,135.4633281,"2021/01/15 07:41:17
",239495
,NULL,NULL,NULL,NULL,239496
WrWmp,…,…,"2021/01/15 07:42:56",NULL,239497
WwOVY,大阪府大阪市１丁目２７３,34.6297882,135.4646312,"2021/01/15 07:46:33
",239498
WrWmp,…,…,"2021/01/15 07:47:56",NULL,239499
,NULL,NULL,NULL,NULL,239500
,NULL,NULL,NULL,NULL,239501
,NULL,NULL,NULL,NULL,239502
WwOVY,大阪府大阪市１丁目６６２,34.6302082,135.465261,"2021/01/15 07:52:03
",239503
WrWmp,…,…,"2021/01/15 07:52:56",NULL,239504
,NULL,NULL,NULL,NULL,239505
,NULL,NULL,NULL,NULL,239506
,NULL,NULL,NULL,NULL,239507
,NULL,NULL,NULL,NULL,239508
WrWmp,…,…,"2021/01/15 07:57:56",NULL,239509
WwOVY,大阪府大阪市１丁目６６２,34.6301479,135.4651974,"2021/01/15 07:57:57
",239510
,NULL,NULL,NULL,NULL,239511
,NULL,NULL,NULL,NULL,239512
,NULL,NULL,NULL,NULL,239513
,NULL,NULL,NULL,NULL,239514
WrWmp,…,…,"2021/01/15 08:02:56",NULL,239515
WwOVY,大阪府大阪市１丁目６６２,34.6301075,135.4652069,"2021/01/15 08:03:13
",239516
,NULL,NULL,NULL,NULL,239517
,NULL,NULL,NULL,NULL,239518
WwOVY,大阪府大阪市１丁目６６２,34.6301135,135.4652095,"2021/01/15 08:08:14
",239519
,NULL,NULL,NULL,NULL,239520
WrWmp,…,…,"2021/01/15 08:08:49",NULL,239521
,NULL,NULL,NULL,NULL,239522
,NULL,NULL,NULL,NULL,239523
,NULL,NULL,NULL,NULL,239524
,NULL,NULL,NULL,NULL,239525
,NULL,NULL,NULL,NULL,239526
WwOVY,大阪府大阪市１丁目６６２,34.6300493,135.4652138,"2021/01/15 08:13:16
",239527
WrWmp,…,…,"2021/01/15 08:13:49",NULL,239528
,NULL,NULL,NULL,NULL,239529
,NULL,NULL,NULL,NULL,239530
WwOVY,大阪府大阪市１丁目６６２,34.6300631,135.4652089,"2021/01/15 08:18:16
",239531
,NULL,NULL,NULL,NULL,239532
WrWmp,…,…,"2021/01/15 08:18:50",NULL,239533
WwOVY,0,0,運行終了,"2021/01/15 08:19:42
",239534
,NULL,NULL,NULL,NULL,239535
,NULL,NULL,NULL,NULL,239536
,NULL,NULL,NULL,NULL,239537
WrWmp,…,…,"2021/01/15 08:23:49",NULL,239538
,NULL,NULL,NULL,NULL,239539
aet20,0,0,運行開始,"2021/01/15 08:25:24
",239540
,NULL,NULL,NULL,NULL,239541
,NULL,NULL,NULL,NULL,239542
,NULL,NULL,NULL,NULL,239543
WrWmp,…,…,"2021/01/15 08:28:50",NULL,239544
,NULL,NULL,NULL,NULL,239545
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 08:30:19
",239546
,NULL,NULL,NULL,NULL,239547
,NULL,NULL,NULL,NULL,239548
,NULL,NULL,NULL,NULL,239549
WrWmp,…,…,"2021/01/15 08:33:49",NULL,239550
,NULL,NULL,NULL,NULL,239551
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 08:35:19
",239552
,NULL,NULL,NULL,NULL,239553
,NULL,NULL,NULL,NULL,239554
WrWmp,…,…,"2021/01/15 08:38:50",NULL,239555
,NULL,NULL,NULL,NULL,239556
,NULL,NULL,NULL,NULL,239557
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 08:42:00
",239558
,NULL,NULL,NULL,NULL,239559
WrWmp,…,…,"2021/01/15 08:43:49",NULL,239560
,NULL,NULL,NULL,NULL,239561
,NULL,NULL,NULL,NULL,239562
,NULL,NULL,NULL,NULL,239563
,NULL,NULL,NULL,NULL,239564
,NULL,NULL,NULL,NULL,239565
WrWmp,…,…,"2021/01/15 08:48:49",NULL,239566
,NULL,NULL,NULL,NULL,239567
,NULL,NULL,NULL,NULL,239568
,NULL,NULL,NULL,NULL,239569
WrWmp,…,…,"2021/01/15 08:53:49",NULL,239570
,NULL,NULL,NULL,NULL,239571
s0039,0,0,運行終了,"2021/01/15 08:54:56
",239572
WrWmp,…,…,"2021/01/15 08:58:49",NULL,239573
,NULL,NULL,NULL,NULL,239574
WrWmp,…,…,"2021/01/15 09:03:49",NULL,239575
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 09:04:23
",239576
,NULL,NULL,NULL,NULL,239577
,NULL,NULL,NULL,NULL,239578
