日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/09/02,埼玉,572,ルミネ大宮店,1401-0503-7370,34,341-443545(13-18),ﾎﾟｹﾓﾝｽｳｪｯﾄｼｬﾂ(L)A,大阪DC（自）,1
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-2800,18,182-441533(14-13),BTﾋｰﾄﾃｯｸUﾈｯｸT(L)ｶﾞﾗ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-2840,37,371-441230(13-14),ｽｰﾋﾟﾏｺｯﾄﾝﾃﾞﾆﾑﾗｲｸﾎﾞｸｻｰ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-2940,32,321-439787(13-05),ｽﾏｰﾄｱﾝｸﾙﾊﾟﾝﾂ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-3130,34,341-442113(12-15),ﾎﾟｹﾓﾝ x ｱｰﾃｨｽﾄUT(S),千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-3840,27,271-432475(12-20),WｴｱﾘｽﾞﾑｼｰﾑﾚｽVﾈｯｸﾌﾞﾗｷｬﾐ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-4350,37,371-443359(13-01),ﾊﾟｲﾙﾒｯｼｭｼｮｰﾄｿｯｸｽ 21SS,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-4360,37,371-443359(13-01),ﾊﾟｲﾙﾒｯｼｭｼｮｰﾄｿｯｸｽ 21SS,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-4370,37,371-443359(13-01),ﾊﾟｲﾙﾒｯｼｭｼｮｰﾄｿｯｸｽ 21SS,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-4630,24,241-440254(13-30),Wﾘﾗｯｸｽｽｳｪｯﾄｼｬﾂ(L),千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-5670,27,271-438980(13-02),Wｴｱﾘｽﾞﾑｳﾙﾄﾗｼｰﾑﾚｽｼｮｰﾂ(JW),千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-6230,27,271-435586(11-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ｼｪｲﾌﾟﾘﾌﾄ),千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-6310,32,321-436585(11-21),ｾﾙﾋﾞｯｼﾞﾚｷﾞｭﾗｰﾌｨｯﾄｽﾄﾚｰﾄJ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2148-7920,32,321-439185(13-02),ｽｷﾆｰﾌｨｯﾄﾁﾉ2WAYｽﾄﾚｯﾁ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2149-5320,18,182-443306(13-01),BTｴﾎﾝｺﾗﾎﾞﾊﾟｼﾞｬﾏ(L)E,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2149-5330,18,182-443306(13-01),BTｴﾎﾝｺﾗﾎﾞﾊﾟｼﾞｬﾏ(L)E,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2149-6170,27,271-438973(13-22),Wﾜｲﾔﾚｽﾌﾞﾗ(ｱｸﾃｨﾌﾞﾚｰｻｰﾊﾞｯｸ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2755-8300,32,321-439183(13-18),ｳﾙﾄﾗｽﾄﾚｯﾁｽｷﾆｰﾌｨｯﾄｶﾗｰJ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2755-8310,17,173-439383(13-12),Gｼｮｰﾄｿｯｸｽ3P(ﾘﾌﾞﾒﾛｳ),千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2755-8320,29,291-442362(13-15),WｽﾑｰｽｺｯﾄﾝﾄﾞﾙﾏﾝｽﾘｰﾌﾞOP(7),千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2755-8590,34,341-444040(13-18),ﾎﾟｹﾓﾝｽｳｪｯﾄｼｬﾂ(L) B,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2755-8600,34,341-442112(12-15),ﾎﾟｹﾓﾝ x ｱｰﾃｨｽﾄUT(S),千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2755-9560,24,241-439092(13-61),Wｽｳｪｯﾄﾊﾟﾝﾂ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2755-9680,37,371-429015(04-19),ﾋｰﾄﾃｯｸVﾈｯｸT(9),千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2756-0210,27,271-432640(04-07),WU ﾋｰﾄﾃｯｸｺｯﾄﾝｸﾙｰﾈｯｸT(L),千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2756-0720,37,371-434187(11-01),50ｼｮｸｿｯｸｽ,千葉DC,0
2021/09/02,埼玉,572,ルミネ大宮店,1402-2756-1620,29,291-443818(13-03),WｺｯﾄﾝｷﾞｬｻﾞｰﾛﾝｸﾞｼｬﾂOP(L),千葉DC,0
