日付,店番,受領フラグ,受領時間,ドライバー名,完了時間,納品予定数,納品数,不足数
2021/09/10,1029,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1045,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1050,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1060,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1078,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1089,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1108,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1113,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1176,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1238,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1240,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1254,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1260,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1273,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1279,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1285,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1288,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1295,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1299,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1303,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1323,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1324,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1326,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1336,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1340,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1349,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1351,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1361,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1368,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1387,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1400,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1402,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1441,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1463,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1466,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1475,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1486,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1496,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1515,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1520,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1524,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,1550,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
