日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/11/17,17.千葉TC,626,木更津店,1701-0506-2640,34,341-442330(14-17),ﾎﾞｱﾌﾘｰｽｽﾀﾝﾄﾞｶﾗｰﾍﾞｽﾄ,大阪DC（自）,0
2021/11/17,17.千葉TC,626,木更津店,1702-1766-7970,24,241-439062(13-02),WｽﾑｰｽｽﾄﾚｯﾁｺｯﾄﾝｸﾙｰﾈｯｸT(L),千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1766-7980,24,241-439062(13-02),WｽﾑｰｽｽﾄﾚｯﾁｺｯﾄﾝｸﾙｰﾈｯｸT(L),千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1766-8450,24,241-439093(14-03),Wﾋｰﾄﾃｯｸﾎﾞｱｽｳｪｯﾄﾊﾟﾝﾂ,千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1766-8580,24,241-439093(14-03),Wﾋｰﾄﾃｯｸﾎﾞｱｽｳｪｯﾄﾊﾟﾝﾂ,千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1766-8620,24,241-439093(14-04),Wﾋｰﾄﾃｯｸﾎﾞｱｽｳｪｯﾄﾊﾟﾝﾂ,千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1766-9630,12,121-439818(14-01),KHTUSﾃﾞﾆﾑｽﾘﾑFP(ﾌｧｽﾅｰﾅｼ),千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1767-0280,24,241-439093(14-03),Wﾋｰﾄﾃｯｸﾎﾞｱｽｳｪｯﾄﾊﾟﾝﾂ,千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1767-0750,27,271-439530(14-07),Wﾋｰﾄﾃｯｸﾀｲﾂ,千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1767-1280,21,212-439708(14-41),Wｳﾙﾄﾗﾗｲﾄﾀﾞｳﾝﾘﾗｯｸｽｺｰﾄ,千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1767-1830,34,341-440595(14-09),ﾎﾞｳﾌｳｱｳﾀｰﾌﾘｰｽｼﾞｬｹｯﾄ(L),千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1767-1900,34,341-440595(14-09),ﾎﾞｳﾌｳｱｳﾀｰﾌﾘｰｽｼﾞｬｹｯﾄ(L),千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1767-1910,34,341-440595(14-09),ﾎﾞｳﾌｳｱｳﾀｰﾌﾘｰｽｼﾞｬｹｯﾄ(L),千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1767-2190,34,341-443620(14-01),ﾎﾞｳﾌｳｱｳﾀｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟPK,千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-1767-2220,34,341-443620(14-01),ﾎﾞｳﾌｳｱｳﾀｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟPK,千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-2699-1230,18,182-442272(14-08),BTﾋﾟｰﾅｯﾂﾌﾘｰｽﾊﾟｼﾞｬﾏ(L)A,千葉DC,0
2021/11/17,17.千葉TC,626,木更津店,1702-2699-1580,21,211-440946(13-08),Wｺｰﾃﾞｭﾛｲｼﾞｬｹｯﾄ,千葉DC,0
