日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-6700,25,251-337677(14-01),Wｹｰﾌﾞﾙﾌｪｱｱｲﾙｾｰﾀｰ(L),MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-6970,25,251-337677(14-01),Wｹｰﾌﾞﾙﾌｪｱｱｲﾙｾｰﾀｰ(L),MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-7240,25,251-337677(14-01),Wｹｰﾌﾞﾙﾌｪｱｱｲﾙｾｰﾀｰ(L),MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-7890,37,371-334930(13-01),ﾎﾞｸｻｰﾊﾟﾝﾂ(RR)(ｸﾏ),MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-7980,22,221-334812(13-04),Wｽｳｪｯﾄｲｰｼﾞｰﾊﾟﾝﾂ,MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-8820,35,351-337403(14-01),ｽｳｪｯﾄﾗｲｸｸﾙｰﾈｯｸｾｰﾀｰ(L),MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-9560,32,321-336884(14-01),ｳﾗﾌﾘｰｽﾃﾞﾆﾑｽﾄﾚｯﾁｼﾞｮｶﾞｰPT,MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-9710,32,321-334885(13-02),ｽｳｪｯﾄｲｰｼﾞｰﾊﾟﾝﾂ,MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2205-0210,37,371-334936(13-01),ﾎﾞｸｻｰﾊﾟﾝﾂ(RR)(ｽﾉｰﾏﾝ),MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2205-0330,32,321-339470(21-01),ﾃｰﾊﾟｰﾄﾞﾄﾗｳｻﾞｰSW+,MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2205-0540,37,371-329680(14-01),ｽﾀｲﾙﾋｰﾄRｿｯｸｽ(ﾛｰｹﾞｰｼﾞﾘﾌﾞ,MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2205-0740,37,371-334934(13-01),ﾎﾞｸｻｰﾊﾟﾝﾂ(RR)(ｸﾏB),MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2205-0770,37,371-334935(13-01),ﾎﾞｸｻｰﾊﾟﾝﾂ(RR)(ﾈｺ),MGL市原(GU),0
2021/11/19,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2205-1790,37,371-334914(13-01),ｼｮｰﾄｿｯｸｽ(ﾒﾗﾝｼﾞ),MGL市原(GU),0
